IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.21.74.65,4,4,0.00,171.61,0.00,SJC
104.20.7.164,4,4,0.00,174.18,0.00,LAX
104.24.220.31,4,4,0.00,174.50,0.00,LAX
104.19.185.80,4,4,0.00,177.31,0.00,SJC
104.25.33.42,4,4,0.00,177.49,0.00,LAX
104.24.86.39,4,4,0.00,178.60,0.00,LAX
104.25.206.154,4,4,0.00,178.98,0.00,LAX
104.27.66.243,4,4,0.00,179.40,0.00,LAX
104.25.8.28,4,4,0.00,179.70,0.00,LAX
104.25.65.171,4,4,0.00,179.73,0.00,LAX
104.19.16.67,4,4,0.00,179.99,0.00,LAX
104.24.221.155,4,4,0.00,180.50,0.00,LAX
104.25.213.203,4,4,0.00,180.60,0.00,LAX
198.41.223.25,4,4,0.00,181.60,0.00,LAX
104.25.216.57,4,4,0.00,181.96,0.00,LAX
104.25.102.68,4,4,0.00,182.24,0.00,LAX
172.65.207.222,4,4,0.00,182.46,0.00,LAX
104.27.3.42,4,4,0.00,182.54,0.00,LAX
104.25.178.253,4,4,0.00,182.95,0.00,LAX
104.19.94.42,4,4,0.00,182.98,0.00,LAX
104.24.169.140,4,4,0.00,183.35,0.00,LAX
141.101.121.92,4,4,0.00,183.39,0.00,LAX
104.24.67.115,4,4,0.00,183.62,0.00,LAX
104.21.105.95,4,4,0.00,186.72,0.00,LAX
104.24.66.49,4,4,0.00,186.88,0.00,LAX
172.67.254.132,4,4,0.00,186.93,0.00,LAX
104.24.139.58,4,4,0.00,189.20,0.00,LAX
104.20.31.193,4,4,0.00,189.58,0.00,LAX
172.67.133.51,4,4,0.00,227.40,0.00,LHR
172.67.134.221,4,4,0.00,231.64,0.00,LHR
162.159.224.171,4,4,0.00,242.40,0.00,DEN
